Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
Abbotsford,42 Valiant St,2,house,890000,property sold,Biggin,17/09/2016,2.5,3067,2,1,1.0,150,73.0,1985.0,Yarra,Northern Metropolitan,4019
Abbotsford,3/72 Charles St,4,house,1330000,property passed in,Kay,18/03/2017,2.5,3067,4,2,2.0,780,135.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,6/219 Nicholson St,2,unit,500000,property sold,Collins,18/06/2016,2.5,3067,2,1,1.0,0,60.0,1970.0,Yarra,Northern Metropolitan,4019
Abbotsford,52a William St,2,house,1100000,property passed in,Biggin,18/06/2016,2.5,3067,2,2,1.0,124,135.0,2013.0,Yarra,Northern Metropolitan,4019
Abbotsford,49 Park St,2,house,1315000,property sold,Marshall,19/11/2016,2.5,3067,2,1,0.0,147,85.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,48 Abbotsford St,3,house,1447500,property passed in,Nelson,22/08/2016,2.5,3067,3,3,1.0,166,174.0,2012.0,Yarra,Northern Metropolitan,4019
Abbotsford,159 Park St,2,house,1135000,property sold,Nelson,22/08/2016,2.5,3067,2,2,2.0,98,128.0,1920.0,Yarra,Northern Metropolitan,4019
Abbotsford,60 Stafford St,3,house,1290000,property sold,Biggin,25/02/2017,2.5,3067,3,1,1.0,168,124.0,1950.0,Yarra,Northern Metropolitan,4019
Abbotsford,11/205 Gipps St,1,unit,470000,property sold,Nelson,26/07/2016,2.5,3067,1,1,1.0,0,50.0,2013.0,Yarra,Northern Metropolitan,4019
Abbotsford,47 Studley St,2,house,1180000,property sold,Jellis,27/11/2016,2.5,3067,2,1,0.0,162,91.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,45 Yarra St,3,house,1195000,property sold prior,Jellis,27/11/2016,2.5,3067,3,2,1.0,120,128.0,1998.0,Yarra,Northern Metropolitan,4019
Abbotsford,200 Nicholson St,2,house,1012500,property sold,Nelson,28/05/2016,2.5,3067,2,1,0.0,182,82.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,27 Charles St,2,house,1030000,property sold,Biggin,30/07/2016,2.5,3067,2,1,1.0,172,81.0,1930.0,Yarra,Northern Metropolitan,4019
Airport West,154 Halsey Rd,3,townhouse,840000,property passed in,Nelson,3/9/2016,13.5,3042,3,2,1.0,303,225.0,2016.0,Moonee Valley,Western Metropolitan,3464
Airport West,50 Bedford St,3,house,730000,vendor bid,Nelson,3/12/2016,13.5,3042,3,2,1.0,0,145.0,1965.0,Moonee Valley,Western Metropolitan,3464
Airport West,50 Bedford St,3,house,770000,property sold prior,Nelson,4/3/2017,13.5,3042,3,2,1.0,0,145.0,1965.0,Moonee Valley,Western Metropolitan,3464
Airport West,23 Hart St,2,house,603000,property sold,Nelson,4/3/2017,13.5,3042,2,1,1.0,272,84.0,1950.0,Moonee Valley,Western Metropolitan,3464
Airport West,1/80 Hawker St,3,townhouse,700000,property sold,Brad,4/3/2017,13.5,3042,3,2,2.0,239,134.0,2009.0,Moonee Valley,Western Metropolitan,3464
Airport West,1/37 Hillside Gr,3,house,600000,property sold,Maddison,4/3/2017,13.5,3042,2,1,1.0,290,116.0,1980.0,Moonee Valley,Western Metropolitan,3464
Airport West,2/49 McIntosh St,2,unit,500000,vendor bid,Barry,4/3/2017,13.5,3042,2,1,1.0,168,86.0,2011.0,Moonee Valley,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,house,725000,property sold prior,Barry,7/5/2016,13.5,3042,6,3,2.0,976,186.0,1980.0,Moonee Valley,Western Metropolitan,3464
Airport West,2/252 Parer Rd,2,townhouse,450000,property sold,Barry,7/5/2016,13.5,3042,2,1,1.0,110,90.0,2015.0,Moonee Valley,Western Metropolitan,3464
Airport West,3/19 Hart St,2,unit,515000,property sold,Barry,7/11/2016,13.5,3042,2,1,1.0,141,73.0,2013.0,Moonee Valley,Western Metropolitan,3464
Airport West,2/62 Clydesdale Rd,2,unit,530000,property sold,Nelson,10/9/2016,13.5,3042,2,1,1.0,120,94.0,2012.0,Moonee Valley,Western Metropolitan,3464
Airport West,3 Deidre Ct,3,house,895000,property passed in,Rendina,10/9/2016,13.5,3042,3,1,6.0,1063,133.0,1975.0,Moonee Valley,Western Metropolitan,3464
Airport West,13 Etzel St,3,house,805000,property sold,Nelson,10/12/2016,13.5,3042,3,1,1.0,0,105.0,1950.0,Moonee Valley,Western Metropolitan,3464
Airport West,1/43 Cameron St,3,unit,752000,property sold,Nelson,11/2/2017,13.5,3042,3,1,1.0,265,130.0,1993.0,Moonee Valley,Western Metropolitan,3464
Airport West,2/40 Earl St,3,townhouse,700000,property passed in,Brad,15/10/2016,13.5,3042,3,2,2.0,165,133.0,2009.0,Moonee Valley,Western Metropolitan,3464
Airport West,180 Parer Rd,3,house,830000,property sold,Barry,16/04/2016,13.5,3042,3,1,2.0,971,113.0,1960.0,Moonee Valley,Western Metropolitan,3464
Airport West,174 Parer Rd,2,house,675000,property sold,Barry,16/07/2016,13.5,3042,2,1,1.0,612,100.0,1975.0,Moonee Valley,Western Metropolitan,3464
Airport West,138 Victory Rd,3,house,1042000,property sold,Nelson,16/07/2016,13.5,3042,3,2,5.0,612,174.0,1950.0,Moonee Valley,Western Metropolitan,3464
Airport West,6 Kittyhawk St,4,house,773000,property sold,Brad,17/09/2016,13.5,3042,5,3,4.0,531,309.0,1980.0,Moonee Valley,Western Metropolitan,3464
Airport West,478 Fullarton Rd,3,house,810000,property passed in,Barry,18/03/2017,13.5,3042,3,3,2.0,555,192.0,1980.0,Moonee Valley,Western Metropolitan,3464
Airport West,144 Marshall Rd,3,house,715000,property sold,Rendina,18/03/2017,13.5,3042,3,2,2.0,422,126.0,1995.0,Moonee Valley,Western Metropolitan,3464
Airport West,3/7 South Rd,3,townhouse,540000,property sold prior,Nelson,18/06/2016,13.5,3042,2,2,1.0,161,101.0,2010.0,Moonee Valley,Western Metropolitan,3464
Airport West,37 North St,3,townhouse,825000,property sold prior,Barry,19/11/2016,13.5,3042,3,2,1.0,293,102.0,1960.0,Moonee Valley,Western Metropolitan,3464
Airport West,10 Hilbert Rd,3,house,685000,property sold,Barry,22/05/2016,13.5,3042,3,1,1.0,579,113.0,1975.0,Moonee Valley,Western Metropolitan,3464
Airport West,85 Roberts Rd,4,house,900000,property sold,Harcourts,27/11/2016,13.5,3042,4,2,3.0,628,146.0,1975.0,Moonee Valley,Western Metropolitan,3464
Albert Park,105 Kerferd Rd,2,house,1275000,property sold,hockingstuart,3/9/2016,3.3,3206,2,1,0.0,120,82.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,112 Beaconsfield Pde,3,house,2850000,property passed in,Buxton,4/3/2017,3.3,3206,3,2,0.0,211,198.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,94 Graham St,3,house,1850000,property sold,Greg,4/3/2017,3.3,3206,3,2,0.0,128,133.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,396 Montague St,2,house,1436000,property sold,RT,4/3/2017,3.3,3206,2,1,0.0,130,81.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,104 Richardson St,4,house,2300000,property sold,Marshall,7/5/2016,3.3,3206,4,2,1.0,153,180.0,1880.0,Port Phillip,Southern Metropolitan,3280
Albert Park,1 Moubray St,3,house,1800000,vendor bid,Greg,7/11/2016,3.3,3206,3,2,1.0,132,159.0,1996.0,Port Phillip,Southern Metropolitan,3280
Albert Park,29 Faussett St,2,house,2120000,property sold,Greg,10/9/2016,3.3,3206,2,1,1.0,199,107.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,24 Kerferd Pl,3,house,1800000,property sold,Marshall,10/9/2016,3.3,3206,3,2,1.0,90,122.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,2 Dundas Pl,3,house,2615000,property sold,Cayzer,10/12/2016,3.3,3206,3,2,1.0,177,181.0,1880.0,Port Phillip,Southern Metropolitan,3280
Albert Park,4a Gatehouse La,3,house,1370000,property sold,Greg,12/6/2016,3.3,3206,3,2,2.0,0,85.0,2000.0,Port Phillip,Southern Metropolitan,3280
Albert Park,65 Graham St,2,house,1322500,property sold,Greg,15/10/2016,3.3,3206,2,1,0.0,149,98.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,364 Montague St,2,house,1562500,property sold,Greg,15/10/2016,3.3,3206,2,1,0.0,141,83.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,86 Mills St,3,house,2000000,vendor bid,RT,16/04/2016,3.3,3206,3,2,1.0,211,147.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,97 Page St,3,house,3010000,property sold,Greg,18/03/2017,3.3,3206,3,2,0.0,147,146.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,55 Withers St,4,house,2800000,vendor bid,Cayzer,18/06/2016,3.3,3206,4,3,1.0,327,254.0,1910.0,Port Phillip,Southern Metropolitan,3280
Albert Park,55 Merton St,3,house,2100000,property sold prior,Marshall,23/04/2016,3.3,3206,2,1,1.0,120,123.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,49 Page St,3,house,2000000,property passed in,Marshall,24/09/2016,3.3,3206,3,1,1.0,238,131.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,13/52 Moubray St,1,unit,442500,property sold,Marshall,25/02/2017,3.3,3206,1,1,0.0,0,34.0,1970.0,Port Phillip,Southern Metropolitan,3280
Albert Park,115 Page St,4,house,4735000,property sold,Marshall,25/02/2017,3.3,3206,4,2,1.0,330,207.0,1910.0,Port Phillip,Southern Metropolitan,3280
Albert Park,27 Barrett St,4,house,2140000,property sold,Greg,27/06/2016,3.3,3206,3,2,1.0,183,145.0,1880.0,Port Phillip,Southern Metropolitan,3280
Albert Park,6 Brooke St,2,house,980000,property sold,Greg,28/05/2016,3.3,3206,2,1,0.0,79,68.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,17 Reed St,3,house,1740000,property passed in,Marshall,28/08/2016,3.3,3206,3,2,2.0,147,134.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,9 Durham St,1,house,985000,property sold,Marshall,30/07/2016,3.3,3206,1,1,0.0,81,54.0,1900.0,Port Phillip,Southern Metropolitan,3280
Alphington,6 Smith St,4,house,2000000,property sold,Brace,3/9/2016,6.4,3078,3,2,4.0,853,263.0,1930.0,Darebin,Northern Metropolitan,2211
Alphington,44 Shiers St,4,house,1717500,property sold,Collins,8/10/2016,6.4,3078,4,2,1.0,599,203.0,1925.0,Darebin,Northern Metropolitan,2211
Alphington,83 Fulham Rd,5,house,2840000,property sold,Nelson,12/6/2016,6.4,3078,5,4,4.0,809,165.0,1910.0,Darebin,Northern Metropolitan,2211
Alphington,3/19 Harker St,2,unit,525500,property sold,Miles,12/11/2016,6.4,3078,2,1,1.0,88,60.0,1960.0,Darebin,Northern Metropolitan,2211
Alphington,4/2 Miller St,2,townhouse,805000,property sold,Miles,12/11/2016,6.4,3078,2,2,3.0,155,140.0,2004.0,Darebin,Northern Metropolitan,2211
Alphington,10 Bennett St,4,house,1830000,property sold,Nelson,19/11/2016,6.4,3078,4,2,2.0,606,112.0,1970.0,Darebin,Northern Metropolitan,2211
Alphington,38 Bennett St,4,house,2100000,property sold,Nelson,19/11/2016,6.4,3078,4,2,2.0,575,271.0,2008.0,Darebin,Northern Metropolitan,2211
Alphington,2c Hamilton St,3,house,865000,property sold prior,hockingstuart,22/05/2016,6.4,3078,3,1,1.0,180,131.0,2010.0,Darebin,Northern Metropolitan,2211
Alphington,5/5 Yarana Rd,2,unit,390000,vendor bid,Nelson,22/05/2016,6.4,3078,2,1,1.0,0,60.0,1960.0,Darebin,Northern Metropolitan,2211
Alphington,1/14 Fulham Rd,2,unit,512000,property sold,Love,25/02/2017,6.4,3078,2,1,1.0,0,61.0,1965.0,Darebin,Northern Metropolitan,2211
Alphington,11 Margaret Gr,4,house,1900000,property sold prior,McGrath,27/11/2016,6.4,3078,4,2,2.0,556,272.0,1930.0,Yarra,Northern Metropolitan,2211
Alphington,42 Shiers St,4,house,1950000,property sold,Jellis,30/07/2016,6.4,3078,4,2,3.0,589,210.0,1920.0,Darebin,Northern Metropolitan,2211
Altona,158 Queen St,3,house,520000,vendor bid,Greg,3/9/2016,13.8,3018,3,2,1.0,352,242.0,2015.0,Hobsons Bay,Western Metropolitan,5301
Altona,59 Bracken Gr,5,house,1525000,property sold,Greg,3/12/2016,13.8,3018,5,3,3.0,729,268.0,2005.0,Hobsons Bay,Western Metropolitan,5301
Altona,1/123 Blyth St,2,townhouse,720000,property sold,hockingstuart,4/2/2016,13.8,3018,2,1,2.0,292,125.0,2013.0,Hobsons Bay,Western Metropolitan,5301
Altona,4 Blyth St,3,house,1120000,property sold,Barlow,4/3/2017,13.8,3018,3,1,2.0,506,120.0,1930.0,Hobsons Bay,Western Metropolitan,5301
Altona,29 Rose St,4,house,1780000,property sold prior,Greg,4/6/2016,13.8,3018,4,3,6.0,1057,220.0,1962.0,Hobsons Bay,Western Metropolitan,5301
Altona,1/170 Blyth St,3,unit,630000,property sold,Barlow,6/8/2016,13.8,3018,2,1,2.0,311,94.0,1955.0,Hobsons Bay,Western Metropolitan,5301
Altona,156 Maidstone St,3,house,660000,vendor bid,Greg,7/5/2016,13.8,3018,3,1,1.0,602,123.0,1955.0,Hobsons Bay,Western Metropolitan,5301
Altona,1/136 Queen St,2,unit,580000,property sold,Barlow,8/10/2016,13.8,3018,2,1,1.0,225,93.0,1988.0,Hobsons Bay,Western Metropolitan,5301
Altona,173 Queen St,3,house,1335000,property sold,hockingstuart,8/10/2016,13.8,3018,3,1,4.0,777,22.0,1953.0,Hobsons Bay,Western Metropolitan,5301
Altona,3/26 Grieve Pde,2,unit,510000,property sold,Village,10/9/2016,13.8,3018,2,1,1.0,127,76.0,1990.0,Hobsons Bay,Western Metropolitan,5301
Altona,4/5 Rose St,2,unit,425000,property sold,hockingstuart,10/9/2016,13.8,3018,2,1,2.0,115,57.0,1980.0,Hobsons Bay,Western Metropolitan,5301
Altona,4/31 Millers Rd,2,unit,391000,property sold prior,Greg,11/2/2017,13.8,3018,2,1,1.0,0,65.0,1965.0,Hobsons Bay,Western Metropolitan,5301
Altona,24 Wren St,4,house,845000,property sold,hockingstuart,11/2/2017,13.8,3018,4,1,2.0,745,130.0,1950.0,Hobsons Bay,Western Metropolitan,5301
Altona,4/57 Blyth St,3,unit,730000,property sold prior,Barlow,13/08/2016,13.8,3018,3,2,1.0,69,141.0,2014.0,Hobsons Bay,Western Metropolitan,5301
Altona,3/46 Sargood St,2,unit,447000,property sold,Burnham,15/10/2016,13.8,3018,2,1,1.0,137,77.0,1990.0,Hobsons Bay,Western Metropolitan,5301
Altona,22 Fenfield St,3,house,678000,property sold,hockingstuart,16/04/2016,13.8,3018,3,1,2.0,606,87.0,1950.0,Hobsons Bay,Western Metropolitan,5301
Altona,5/8 David St,2,unit,580000,property passed in,Biggin,16/07/2016,13.8,3018,2,2,1.0,175,76.0,2013.0,Hobsons Bay,Western Metropolitan,5301
Altona,27 McIntyre Dr,3,house,840000,property sold prior,Greg,18/03/2017,13.8,3018,3,2,2.0,534,136.0,1965.0,Hobsons Bay,Western Metropolitan,5301
Altona,3/20 Mulga St,3,unit,577000,property sold,Williams,23/04/2016,13.8,3018,3,2,1.0,205,113.0,2007.0,Hobsons Bay,Western Metropolitan,5301
Altona,104 Maidstone St,2,house,857000,property sold prior,hockingstuart,27/11/2016,13.8,3018,2,2,1.0,675,100.0,1950.0,Hobsons Bay,Western Metropolitan,5301
Altona,5/57 Blyth St,3,unit,730000,property sold prior,Barlow,28/05/2016,13.8,3018,3,2,1.0,70,3.0,2014.0,Hobsons Bay,Western Metropolitan,5301
Altona,2/60 David St,2,house,535600,property sold prior,Compton,30/07/2016,13.8,3018,2,1,1.0,154,91.0,1996.0,Hobsons Bay,Western Metropolitan,5301
Altona North,45 Hearn St,5,house,1085000,property sold,FN,3/9/2016,11.1,3025,5,3,6.0,592,251.0,1965.0,Hobsons Bay,Western Metropolitan,5132
Altona North,4 Knapp St,3,house,781000,property sold,Jas,3/9/2016,11.1,3025,3,1,2.0,533,117.0,1970.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3/66 Marion St,2,townhouse,421000,property sold,hockingstuart,4/3/2017,11.1,3025,2,1,1.0,77,77.0,2009.0,Hobsons Bay,Western Metropolitan,5132
Altona North,33 Carthy St,3,house,683000,property sold,FN,4/6/2016,11.1,3025,3,1,2.0,534,167.0,1967.0,Hobsons Bay,Western Metropolitan,5132
Altona North,1/5 Little St,3,house,720000,vendor bid,Greg,6/8/2016,11.1,3025,3,2,1.0,0,130.0,2012.0,Hobsons Bay,Western Metropolitan,5132
Altona North,1/95 Mills St,3,house,588000,property sold,Williams,7/5/2016,11.1,3025,3,1,1.0,328,118.0,1970.0,Hobsons Bay,Western Metropolitan,5132
Altona North,5 Binns St,3,house,710000,property passed in,Village,7/11/2016,11.1,3025,3,1,3.0,540,116.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,25 Allan St,4,house,875000,property sold prior,Jas,8/10/2016,11.1,3025,3,1,4.0,559,169.0,1965.0,Hobsons Bay,Western Metropolitan,5132
Altona North,2/36 May St,3,house,675000,property sold,hockingstuart,14/05/2016,11.1,3025,3,2,2.0,171,109.0,2012.0,Hobsons Bay,Western Metropolitan,5132
Altona North,11 Beevers St,3,house,708000,property sold,Greg,15/10/2016,11.1,3025,3,1,2.0,585,97.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,252 Millers Rd,4,house,693000,property sold prior,Raine&Horne,22/05/2016,11.1,3025,4,2,4.0,315,170.0,2008.0,Hobsons Bay,Western Metropolitan,5132
Altona North,1/156 Chambers Rd,3,house,620000,property sold prior,Hunter,22/08/2016,11.1,3025,5,2,2.0,276,100.0,2010.0,Hobsons Bay,Western Metropolitan,5132
Altona North,2 Gadsden St,3,house,728500,property sold,Jas,22/08/2016,11.1,3025,3,1,1.0,531,157.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,24 Hansen St,3,house,931000,property sold,hockingstuart,22/08/2016,11.1,3025,3,2,1.0,590,160.0,1950.0,Hobsons Bay,Western Metropolitan,5132
Altona North,6 Hill St,3,house,815000,property sold,hockingstuart,25/02/2017,11.1,3025,3,2,3.0,555,130.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,5 Cresser St,4,house,1200000,property sold prior,RT,27/11/2016,11.1,3025,4,1,4.0,633,158.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,4/221 Blackshaws Rd,2,unit,292000,property sold,Jas,28/08/2016,11.1,3025,2,1,1.0,153,70.0,1970.0,Hobsons Bay,Western Metropolitan,5132
Armadale,8/19 Mercer Rd,2,unit,599000,property sold,Jellis,3/9/2016,6.3,3143,2,1,1.0,0,76.0,1964.0,Stonnington,Southern Metropolitan,4836
Armadale,14/71 Denbigh Rd,3,unit,995000,property sold,Marshall,3/12/2016,6.3,3143,3,2,2.0,0,100.0,1998.0,Stonnington,Southern Metropolitan,4836
Armadale,4/769 High St,3,townhouse,1205000,property sold,Jellis,3/12/2016,6.3,3143,3,2,2.0,101,105.0,2000.0,Stonnington,Southern Metropolitan,4836
Armadale,7 Llaneast St,3,house,1939000,property sold,Jellis,3/12/2016,6.3,3143,3,2,2.0,296,150.0,1889.0,Stonnington,Southern Metropolitan,4836
Armadale,28 Cambridge St,3,house,1870000,property sold,Hodges,4/3/2017,6.3,3143,3,1,1.0,217,116.0,1888.0,Stonnington,Southern Metropolitan,4836
Armadale,3/20 Mercer Rd,3,townhouse,1918000,property sold prior,Jellis,4/3/2017,6.3,3143,3,2,2.0,0,165.0,1995.0,Stonnington,Southern Metropolitan,4836
Armadale,12 Willis St,3,house,2050000,property sold,Marshall,4/3/2017,6.3,3143,3,2,1.0,205,116.0,1910.0,Stonnington,Southern Metropolitan,4836
Armadale,9/19 Mercer Rd,3,unit,735000,property passed in,Marshall,7/5/2016,6.3,3143,3,2,1.0,2113,14.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,10 William St,1,house,1435000,property sold prior,Jellis,8/10/2016,6.3,3143,2,2,1.0,144,107.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,15/405 Dandenong Rd,1,unit,280000,property passed in,hockingstuart,10/9/2016,6.3,3143,1,1,1.0,0,38.0,1975.0,Stonnington,Southern Metropolitan,4836
Armadale,8/58 Sutherland Rd,2,unit,592500,property sold,hockingstuart,10/12/2016,6.3,3143,2,1,1.0,0,73.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,40 New St,2,house,1210000,property sold,Marshall,12/11/2016,6.3,3143,2,1,0.0,249,96.0,1910.0,Stonnington,Southern Metropolitan,4836
Armadale,35 Northcote Rd,4,house,2801000,property sold,Marshall,12/11/2016,6.3,3143,4,2,2.0,624,222.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,791 High St,3,house,1800000,property passed in,RT,15/10/2016,6.3,3143,3,2,2.0,405,121.0,1910.0,Stonnington,Southern Metropolitan,4836
Armadale,25 Llaneast St,4,house,2200000,property passed in,Jellis,15/10/2016,6.3,3143,4,1,2.0,495,163.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,367 Dandenong Rd,6,house,5525000,property sold,Marshall,17/09/2016,6.3,3143,5,3,4.0,1491,516.0,1935.0,Stonnington,Southern Metropolitan,4836
Armadale,10/581 Orrong Rd,1,unit,440000,property sold prior,Jellis,18/03/2017,6.3,3143,1,1,1.0,0,53.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,14 New St,3,house,1300000,vendor bid,Jellis,18/06/2016,6.3,3143,2,1,2.0,212,106.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,6/51 Armadale St,2,unit,704000,property sold prior,Greg,19/11/2016,6.3,3143,2,1,1.0,0,74.0,1969.0,Stonnington,Southern Metropolitan,4836
Armadale,12/41 Kooyong Rd,2,unit,620000,vendor bid,Marshall,19/11/2016,6.3,3143,3,1,1.0,0,98.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,63 Denbigh Rd,3,house,1900000,property sold,Marshall,22/05/2016,6.3,3143,3,1,2.0,328,108.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,10/51 Armadale St,2,unit,710000,property sold,Jellis,25/02/2017,6.3,3143,2,1,1.0,2471,80.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,1/14 Denbigh Rd,2,unit,598000,property sold,hockingstuart,25/02/2017,6.3,3143,2,1,1.0,0,88.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,75 Sutherland Rd,3,house,1285000,property sold,Marshall,25/02/2017,6.3,3143,3,1,2.0,186,80.0,1920.0,Stonnington,Southern Metropolitan,4836
Armadale,1/403 Dandenong Rd,2,unit,520000,property sold,hockingstuart,27/06/2016,6.3,3143,1,1,1.0,0,76.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,44 Denbigh Rd,4,house,3625000,property sold,Jellis,27/11/2016,6.3,3143,4,1,2.0,709,251.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,44 Hampden Rd,4,house,4200000,vendor bid,Kay,27/11/2016,6.3,3143,4,3,3.0,563,333.0,2000.0,Stonnington,Southern Metropolitan,4836
Armadale,3/769 High St,3,townhouse,1101000,property sold,Jellis,27/11/2016,6.3,3143,3,1,2.0,103,3.0,2000.0,Stonnington,Southern Metropolitan,4836
Armadale,4 Mercer Rd,3,house,3512500,property sold,Marshall,27/11/2016,6.3,3143,3,2,2.0,617,285.0,1998.0,Stonnington,Southern Metropolitan,4836
Armadale,1/31 Mercer Rd,3,unit,869000,property sold,Jellis,28/05/2016,6.3,3143,2,1,1.0,0,91.0,1940.0,Stonnington,Southern Metropolitan,4836
Armadale,5/555 Orrong Rd,1,unit,567000,property sold,hockingstuart,28/08/2016,6.3,3143,1,1,1.0,0,53.0,2013.0,Stonnington,Southern Metropolitan,4836
Ascot Vale,30 Rothwell St,3,house,940000,property sold,Nelson,3/12/2016,5.9,3032,3,1,2.0,298,108.0,1920.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,9/5 Rothwell St,2,unit,467000,property sold prior,Brad,3/12/2016,5.9,3032,2,1,1.0,0,62.0,1980.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,7 Francis St,3,house,1380000,property sold prior,Nelson,4/3/2017,5.9,3032,3,2,2.0,277,174.0,1910.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2/21 Harold St,2,unit,490000,vendor bid,Jellis,4/3/2017,5.9,3032,2,1,1.0,423,62.0,1970.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,44 The Parade,4,house,1850000,property sold,Brad,4/3/2017,5.9,3032,4,3,1.0,478,270.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,98 Epsom Rd,3,house,971000,property sold prior,Nelson,4/6/2016,5.9,3032,3,2,2.0,285,128.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,8 Geddes St,2,house,710000,property passed in,Nelson,4/6/2016,5.9,3032,2,1,1.0,214,77.0,1890.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,75 Maribyrnong Rd,6,house,2425000,property passed in,Brad,4/6/2016,5.9,3032,6,3,2.0,1014,435.0,1887.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,119 Roseberry St,2,house,750000,property sold prior,Maddison,4/6/2016,5.9,3032,2,1,1.0,226,92.0,1920.0,Moonee Valley,Western Metropolitan,6567
